,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow Depth,Short-wave irradiation
266,270,Uttar Pradesh,Kanpur Dehat,3954448264.680868,423040.33343662607,1767,333,1409,25,2,1584037.0,79.92203320863317,26.47621991137587,305.35,33.01,990.89,0.75,97.83,1.9e-05,0.0,0.0,7225.714
267,271,Madhya Pradesh,Bhind,5589049795.640727,664122.798794014,983,24,952,7,2,1703005.0,78.70224312493178,26.32414257907924,307.48,25.01,986.69,0.98,2.87,0.0,0.0,0.0,7244.909
268,272,Rajasthan,Sawai Madhopur,6264683387.162876,653444.5636158246,971,113,839,19,1,1338114.0,76.4647624047716,26.255266693276006,307.2,22.93,974.19,3.33,295.5,0.0,0.0,0.0,7035.441
269,273,Uttar Pradesh,Deoria,3175395975.7430296,450039.92004760576,5832,269,5489,74,2,2730376.0,83.80259599539147,26.47653245157798,302.6,54.64,998.21,1.61,90.29,0.273766,0.0,0.0,6829.175
270,274,Rajasthan,Tonk,8976418852.367445,783583.5379092725,1423,112,1289,22,1,1421711.0,75.8012125727681,26.093462532781167,306.74,23.63,972.05,3.85,289.1,0.0,0.0,0.0,7241.112
271,275,Telangana,Rajanna Sircilla,1999491599.559264,240821.7976270431,3456,3454,2,0,1,552037.0,78.76000070324176,18.406868456589983,307.96,29.42,962.06,0.72,178.19,7.900000000000001e-05,0.0,0.0,7093.402
272,276,Telangana,Warangal Rural,2315978458.624556,335776.7811030367,2399,2399,0,0,2,718537.0,79.73754210192824,17.913541409753766,307.4,37.68,978.14,1.89,178.11,0.016449000000000002,0.0,0.0,7242.113
273,277,Telangana,Yadadri Bhuvanagiri,3603074633.884839,402713.5013987243,2602,2602,0,0,2,739448.0,78.97439985973445,17.474267969895887,306.4,37.96,960.64,1.59,174.96,0.004878,0.0,0.0,7207.858
274,278,Odisha,Kendrapara,2903080269.118953,418810.09756871726,6000,1073,4913,14,1,1440361,86.56247735393131,20.580759032743664,302.05,76.43,1006.04,2.34,180.59,2.517876,0.0,0.0,7047.574
275,279,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli,565676122.8722451,247012.1311687068,1516,55,1455,1,2,343709,73.03147417307648,20.197844003157506,304.58,56.11,994.38,3.17,270.37,0.169397,0.0,0.0,7169.054
276,280,Odisha,Ganjam,9497554046.42722,735689.0810504011,20505,192,20084,229,2,3529031.0,84.55787336709082,19.559439064587778,303.77,54.55,974.52,0.38,194.89,0.483692,0.0,0.0,7405.399
277,281,Tamil Nadu,Cuddalore,3895254756.8361344,552674.5279884376,21281,1225,19812,244,1,2605914.0,79.48374188005785,11.589984737988795,305.13,56.82,1001.82,1.87,132.31,0.457578,0.0,0.0,6298.208
278,282,Tamil Nadu,Ramanathapuram,4418487780.590079,844671.2303368191,5678,156,5402,120,1,1353445.0,78.83704073913071,9.41581124471154,304.69,64.3,1005.99,3.32,185.29,1.1347209999999999,0.0,0.0,5565.779
279,283,Delhi,North East Delhi,44876678.15913832,45699.26411873613,25,25,0,0,0,2240749.0,77.24901596053719,28.7321498067055,305.89,33.48,980.06,0.29,265.23,0.000516,0.0,0.0,7368.178
280,284,Delhi,New Delhi,204409942.47356653,87850.726672744,37,37,0,0,0,133713.0,77.16538669015333,28.555873497978276,306.05,31.97,979.98,0.4,286.25,9.7e-05,0.0,0.0,7404.459
281,285,Telangana,Wanaparthy,2370928424.6536183,330336.5522920903,2480,2480,0,0,2,577758.0,78.07339001390804,16.31002298703722,307.46,32.78,962.38,1.28,173.09,0.019821000000000002,0.0,0.0,6499.63
282,286,Odisha,Angul,7357267874.264158,660315.540582062,5203,1054,4141,8,2,1273821.0,85.00055168436059,21.134576277021452,303.98,52.28,980.85,0.22,31.1,0.28538,0.0,0.0,7421.332
283,287,Gujarat,Dang,2027019849.495001,293789.1150318924,108,3,105,0,1,226769.0,73.70836385517536,20.813164506767023,305.22,43.2,967.11,3.55,271.85,0.038179000000000005,0.0,0.0,7252.478
284,288,Chhattisgarh,Dhamtari,4685017060.78639,470530.9870896529,2890,271,2608,11,2,799781,81.72483653122971,20.64447382775948,305.55,34.1,963.56,0.77,302.9,1.3000000000000001e-05,0.0,0.0,7411.223
285,289,Odisha,Gajapati,4647876780.515438,548454.9236930496,3677,68,3585,24,2,577817.0,84.16789721040247,19.11495812178502,303.94,55.62,975.01,0.58,191.72,0.6642100000000001,0.0,0.0,7272.731
286,290,Andaman and Nicobar Islands,North and Middle Andaman,3486125843.9065704,2694024.380279899,1,0,1,0,2,105597,92.85849100514163,12.811750503098436,302.35,71.6,1008.07,1.79,94.55,4.440434,0.0,0.0,5506.299
287,291,Karnataka,Ramanagara,3713268497.3370094,476884.5795326601,5978,879,5043,56,2,1082636.0,77.31456749345291,12.689885912172107,301.82,55.78,925.44,0.48,20.95,1.908457,0.0,0.0,6409.803
288,292,Andaman and Nicobar Islands,Nicobars,1719339557.2039232,898607.7335860321,0,0,0,0,2,36819.0,93.57295913527,7.769147100945876,300.6,79.89,1008.76,2.03,148.06,25.045081,0.0,0.0,3077.608
289,293,Arunachal Pradesh,Anjaw,8393805762.554352,466057.050852009,153,44,109,0,2,21089.0,96.9540812527156,27.927319874635874,285.74,72.2,751.1,0.99,229.48,4.406051000000001,0.0,3.1e-05,6920.408
290,294,Assam,Dhemaji,3172927522.178113,459070.9957074814,765,319,440,6,2,688077.0,94.60295296873916,27.533857296779264,298.01,68.32,960.97,0.03,342.75,1.182328,0.0,0.0,6289.309
291,296,Arunachal Pradesh,Tirap,1375923044.6464446,193458.46173709078,366,93,273,0,2,111997.0,95.53711234028263,27.123468614747583,297.26,65.82,938.17,0.4,13.25,1.5490629999999999,0.0,0.0,6318.982
292,297,Nagaland,Mon,2691191894.725689,344579.9123397875,420,80,331,2,2,250260.0,95.00142670914349,26.724560503954176,296.62,67.02,928.19,0.35,324.53,2.432114,0.0,0.0,5947.592
293,298,Nagaland,Longleng,695054389.9682858,201886.9246677215,13,1,6,0,2,50484.0,94.79633823567525,26.629306649995915,296.61,67.8,930.04,0.24,354.2,2.322294,0.0,0.0,5962.25
294,299,Uttar Pradesh,Kannauj,2643850176.169274,354725.64992213936,2593,157,2401,35,1,1385227.0,79.6288294578288,27.024208660345984,304.92,35.89,989.43,0.85,91.62,0.000779,0.0,0.0,7182.679
295,300,Assam,Baksa,3055675975.6668863,556608.5567904782,687,234,447,6,2,953773.0,91.45394024515343,26.582656240731595,298.7,70.54,978.47,0.77,304.21,0.873418,0.0,0.0,6716.518
