,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Temperature,Relative Humidity,Pressure,Wind speed,Wind direction,Rainfall,Snowfall,Snow Depth,Short-wave irradiation
13,7147971190.345554,696275.6727955729,11288,671,10501,116,0,1889752,305.01,43.06,943.64,2.83,272.72,0.354258,0.0,0.0,6783.504
14,12447167546.022331,840955.6083621639,58106,5178,52377,551,-1,4889230.0,307.16,46.33,999.99,2.43,165.29,0.197156,0.0,0.0,7259.22
15,14316977386.78281,1019745.9346136716,103246,9051,93642,553,0,5151549.0,304.16,61.61,986.57,1.34,227.28,0.6872699999999999,0.0,0.0,7297.688
16,19113798621.070427,875962.5602974489,52411,4611,47294,506,0,3392764.0,307.23,41.71,990.53,2.15,149.39,0.11241099999999998,0.0,0.0,6632.946
17,19139870745.1592,947241.6209140336,57425,1623,55330,472,-1,4046601.0,306.84,37.63,967.0,1.07,178.58,0.05454199999999999,0.0,0.0,6336.412
18,5041393184.622803,587894.3612415643,9742,607,9000,135,0,1064570.0,303.21,51.95,941.85,2.2,275.47,0.724874,0.0,0.0,6685.483
19,9132577172.894476,816596.2481057881,33763,2850,30428,485,0,2452595.0,304.34,49.87,949.05,1.51,265.09,0.5616979999999999,0.0,0.0,6998.606
20,4607790251.703926,488996.9464859017,18393,2630,15251,512,0,1847023.0,302.47,55.45,943.41,1.79,278.81,1.317965,0.0,0.0,6038.109
21,2367914623.587218,328620.2765216249,3511,1978,1407,126,1,639962.0,302.52,67.75,985.23,2.43,298.32,1.7207580000000002,0.0,0.0,5653.806
22,14177735248.66179,696336.729795786,55447,2275,52711,461,-1,2966082.0,306.38,46.92,994.29,2.02,146.3,0.189416,0.0,0.0,6895.092
23,9027409729.356993,701685.492824682,8842,1785,7019,38,1,1659456.0,302.61,55.85,937.9,0.7,289.36,1.165798,0.0,0.0,6690.61
24,6351903661.0805435,613890.3637227877,17537,1818,15476,243,1,1945497.0,302.32,56.95,939.22,1.58,288.33,2.240308,0.0,0.0,6135.644
25,3806295226.7900853,386810.9689237111,18810,1955,16692,163,1,1177361.0,301.79,70.11,974.38,2.26,308.41,3.8958839999999997,0.0,0.0,4360.74
26,4517226240.626249,510730.9365195221,8435,1484,6864,86,0,1255104.0,302.09,53.65,925.78,0.62,88.17,0.75926,0.0,0.0,7010.083
27,7219958013.74999,673534.8668663462,20014,4220,15468,326,1,1776421.0,299.33,68.05,921.97,0.87,303.59,4.537192,0.0,0.0,5296.026
28,4220912374.0624633,515279.4209428069,6659,1434,5122,103,1,1536401.0,301.39,56.08,924.02,0.91,79.22,0.622057,0.0,0.0,6832.386
29,2439791151.072402,507401.7201610936,11521,2092,9329,100,-1,990923.0,301.54,55.02,918.64,0.76,71.44,1.485784,0.0,0.0,6784.602
30,5149142756.188378,500949.6269048604,25572,4390,20586,594,0,2089649.0,301.0,73.07,967.74,1.74,305.1,5.478257,0.0,0.0,4297.066
31,2326321010.4237924,342705.1072356318,267362,60197,203931,3233,-1,9621551.0,301.56,55.18,919.35,0.76,64.77,1.705572,0.0,0.0,6703.653
32,6426510596.2267,812498.5048450809,15868,883,14724,261,-1,3936331.0,303.3,55.39,964.78,1.03,109.91,0.198478,0.0,0.0,6831.623
33,187443431.53004903,78017.79729082737,178108,13283,161477,3348,-1,4646732.0,303.65,70.75,1004.56,2.91,172.98,1.277525,0.0,0.0,4787.837
34,4740439780.944522,456820.9152612463,23120,880,21899,341,-1,3998252.0,303.82,65.96,1000.33,2.07,161.6,0.87977,0.0,0.0,5498.902
35,2078638107.8531718,382258.96549689927,13559,4343,9151,61,0,1302600.0,301.83,75.96,988.72,2.53,308.83,6.134566,0.0,0.0,3836.06
36,6530116655.285573,733920.9013439559,16289,740,15309,240,0,2464875.0,303.93,56.58,980.91,1.19,116.32,0.31846399999999997,0.0,0.0,6697.413
37,2240878255.4504037,292261.79688415496,4519,1142,3372,5,1,816558.0,300.22,68.39,939.77,0.84,315.12,6.758334,0.0,0.0,5602.208
38,6275859637.315813,624960.5399084836,7837,1073,6668,96,0,2251744.0,303.68,50.89,951.67,0.56,341.39,2.078502,0.0,0.0,6304.884
39,2451415831.17842,298776.5651785823,26783,10218,16474,85,0,3089543.0,301.59,72.65,973.35,1.95,303.48,7.557461999999999,0.0,0.0,5545.372
40,4908706723.1684675,553129.2812633485,35933,4764,30690,479,0,3458045.0,302.31,59.12,952.36,1.36,288.01,3.2814769999999998,0.0,0.0,6581.303
41,2205896015.1796627,440655.7835980409,8099,683,7338,78,-1,1264277.0,305.13,58.61,1005.16,2.24,155.51,0.673474,0.0,0.0,5918.535
42,3147925914.5556545,397475.6111184861,19144,8390,10689,59,0,3110327.0,303.13,67.4,989.64,2.49,283.61,4.646624,0.0,0.0,6747.866
43,4518943973.13705,570539.47508923,4628,1300,3321,5,0,1108974,301.52,61.62,946.67,1.12,291.11,3.7387080000000004,0.0,0.0,6520.429
44,3170928906.586809,412906.02835219045,25221,11698,13436,79,1,3279860.0,301.8,66.97,964.93,2.01,287.51,4.909957,0.0,0.0,6589.991
45,3846793645.6228476,559348.2379135479,17214,714,16105,395,-1,3038252.0,304.46,53.92,978.09,0.74,114.17,0.8689959999999999,0.0,0.0,6632.417
46,2971530529.2686725,348226.7174253666,15425,469,14773,183,0,1245899,301.97,54.22,931.73,0.8,0.54,0.52561,0.0,0.0,6598.636
47,1465198432.9431894,299423.69074025465,18459,5549,12849,53,0,2121943.0,302.91,68.84,991.94,2.88,290.16,3.1136790000000003,0.0,0.0,6363.396
48,2282534811.725041,321896.9750139072,13807,4934,8845,28,-1,1979384.0,302.18,65.25,969.38,1.98,289.02,3.7640480000000003,0.0,0.0,6420.502
49,2738525758.349063,406371.5876651089,9961,2946,7008,6,0,1195537.0,302.34,65.83,974.99,2.1,283.9,3.6584239999999997,0.0,0.0,6330.345
50,4809175078.244572,528683.262103781,13916,507,13286,123,0,1750176.0,304.86,58.92,1000.04,2.08,212.23,0.795859,0.0,0.0,5749.442
51,2564589639.875364,349910.2001201331,19581,8770,10737,70,0,2629703.0,302.63,67.86,987.58,2.57,276.06,3.691044,0.0,0.0,6158.679
52,2247285799.2792354,286375.49875221483,41938,11695,29917,291,0,3307284.0,303.09,67.1,992.43,3.03,275.45,2.3899790000000003,0.0,0.0,6020.771
53,1735249881.8434374,259327.4406314196,13504,828,12446,230,0,1870374.0,303.38,66.04,993.87,3.32,260.46,1.3191979999999999,0.0,0.0,6200.086
54,9213436318.34489,695451.1389353261,71917,5574,65877,466,0,3934782.0,305.31,56.58,995.11,1.31,198.62,0.423957,0.0,0.0,7336.126
55,3668170654.7248244,527174.2103448,2926,616,2301,9,1,719065.0,303.49,51.07,956.39,0.91,209.39,0.29767899999999997,0.0,0.0,7088.975
56,5762083248.699779,505207.61286750133,1652,402,1240,10,1,578326.0,303.39,40.9,943.9,0.97,287.81,0.025596,0.0,0.0,7285.694
57,3362031460.407383,319408.7830479125,36235,9491,26276,468,-1,2160876.0,305.43,37.61,973.31,0.48,343.58,4.3e-05,0.0,0.0,7248.459
58,2657125882.9021287,374366.3428235219,12938,2418,10372,148,1,1721726.0,306.26,32.62,970.68,0.87,329.86,5.3e-05,0.0,0.0,7229.516
59,4815896846.117864,474036.4927453579,198452,31770,161616,5065,-1,8131849.0,304.48,52.37,982.19,3.32,298.8,0.175218,0.0,0.0,6937.797
60,4522538570.187338,410127.8722632861,1783,1768,15,0,0,708972.0,308.93,22.96,968.28,0.41,316.67,9e-06,0.0,0.0,7008.191
61,2382569543.708867,316338.23162630026,9311,9295,16,0,0,1005711.0,308.2,31.13,972.04,1.18,180.72,0.000321,0.0,0.0,7078.531
62,5009281181.042455,648371.9508718593,6555,6552,3,0,0,1401639.0,306.61,46.75,992.36,1.73,171.88,0.15276700000000001,0.0,0.0,7352.475
63,2998842126.8481803,371679.3714739736,3432,3424,8,0,0,1486777.0,307.07,32.76,954.56,1.42,182.22,0.014676,0.0,0.0,6707.328
64,7910053778.563592,499066.3868769947,8165,8153,12,0,0,1618416.0,306.98,38.39,971.8,1.62,164.03,0.013683,0.0,0.0,7153.408
65,2723054908.501145,372435.8587093175,3476,487,2980,9,1,610183.0,305.17,40.67,983.95,1.09,337.69,0.005592,0.0,0.0,7474.387
66,4415655480.4869175,679379.0232232617,22532,2277,20169,86,1,2624470.0,303.53,64.28,1000.71,1.52,169.53,0.77904,0.0,0.0,7245.979
67,9143813608.39957,696490.5965381698,4972,389,4559,24,1,733110.0,303.58,43.42,956.39,1.26,345.74,0.011434,0.0,0.0,7600.572
68,3293100620.883161,696394.9347983672,42280,4835,37276,169,0,2251673,303.69,65.07,1001.77,2.17,180.01,0.5856020000000001,0.0,0.0,7249.451
69,1978904790.1792905,287538.00387400604,5867,612,5242,13,1,1136971,302.29,75.99,1006.71,2.69,186.46,2.154109,0.0,0.0,7069.777
70,19276813052.036892,1461739.4257815396,47249,9177,37350,722,0,4088077.0,305.54,34.73,940.34,3.94,330.79,0.012299,0.0,0.0,7194.06
71,159725749.89086846,76521.2649582103,219961,26544,183742,9248,-1,3326837.0,303.16,68.19,1003.51,3.96,301.38,0.301313,0.0,0.0,6847.397
72,1549627781.1652615,283353.0477886213,2668,1639,964,65,1,817761.0,303.03,64.1,984.95,3.02,295.6,1.2704520000000001,0.0,0.0,6153.913
73,1826501327.1462,312770.4318363633,1951,97,1834,20,0,565223,305.62,47.92,986.88,1.74,114.23,0.338686,0.0,0.0,6646.042
74,5190013542.216722,680906.8881771283,9499,1156,8189,154,-1,2479052.0,305.05,48.57,968.68,0.88,293.24,1.058527,0.0,0.0,6507.395
75,211377521.5989084,103800.6004700974,63283,62955,305,23,-1,3943323.0,306.32,35.16,949.57,1.37,179.66,0.006381,0.0,0.0,7160.051
76,3217130245.8741717,304021.4867592057,3947,3945,2,0,0,1506843.0,308.54,27.13,968.43,0.36,173.35,4.5e-05,0.0,0.0,6922.087
77,2539364242.059119,313627.7973629322,2486,2485,1,0,0,566376.0,307.11,36.47,969.18,1.72,177.23,0.003061,0.0,0.0,7235.55
78,4411928858.118622,466705.62113031576,3445,3444,0,1,0,807037.0,308.68,29.16,980.04,0.47,173.15,0.001628,0.0,0.0,7079.073
79,1189279046.0673516,225510.24157913146,12428,12418,9,1,-1,2440073.0,306.28,35.61,950.35,1.34,179.05,0.004293,0.0,0.0,7209.236
80,3744482872.283613,362667.29249548353,738,28,685,25,0,757847.0,309.07,18.06,966.33,3.12,319.56,3.2e-05,0.0,0.0,7260.826
81,7254509564.374716,542747.0572012535,5236,1676,3465,94,1,1230640.0,308.69,23.2,970.79,1.31,297.66,4e-06,0.0,0.0,7239.682
82,11157982636.6539,807002.8239181949,8762,2966,5664,132,0,2232480.0,308.03,20.09,956.98,3.47,322.19,1e-06,0.0,0.0,7495.388
