,objectid,State,District,st_area(sh,st_length(,Confirmed,Active,Recovered,Deceased,Zone,Population,Longitude,Latitude
109,110,Tamil Nadu,Karur,3028074368.4897914,469587.80215223966,3433,406,2986,41,1,1064493,78.05419474019833,10.795538759259383
110,111,Tamil Nadu,Tirunelveli,7067608691.612055,670561.9593060795,13300,750,12350,200,1,3077233,77.58083824954703,8.847509586138838
111,112,Odisha,Bhadrak,2875538132.293899,373396.9025406232,5765,618,5128,19,0,1506522.0,86.532610311396,21.007713207824427
112,113,Odisha,Dhenkanal,5127621846.400225,444270.1728864575,4230,498,3722,10,1,1192811.0,85.50108861361397,20.805943695141945
113,114,Odisha,Jajpur,3333571602.236064,481374.7944751212,9214,1061,8140,13,0,1827192.0,86.19313151452636,20.876363990340842
114,115,Odisha,Kalahandi,8979889302.839067,690909.0436732791,3839,692,3134,13,1,1576869.0,83.1468750410599,19.81133310569384
115,116,Odisha,Puri,3920155827.7516475,531908.4165947239,11063,1349,9646,68,2,1698730.0,85.7324419356122,19.99139216164301
116,117,Odisha,Koraput,9377159339.690668,846475.1544728405,6513,428,6073,12,1,1379647.0,82.81749390514584,18.757861736479992
117,118,Odisha,Malkangiri,6412819337.721957,530604.0391774832,4024,371,3638,15,2,613192,81.93978893666865,18.24077945671052
118,119,Tamil Nadu,Tiruvallur,3605372356.4216685,694276.2346342193,34154,1610,31971,573,0,3728104.0,79.78598410222651,13.214903139215775
119,120,Tamil Nadu,Krishnagiri,5412152710.845502,648984.072099149,5218,751,4392,75,2,1879809.0,78.13359108510413,12.466015899672907
120,121,Tamil Nadu,Nilgiris,2684597691.132262,336206.37423057057,5032,813,4190,29,1,735394.0,76.62668575869723,11.536072173390457
121,122,Tamil Nadu,Namakkal,3577824356.9545507,429903.70446090534,6669,1035,5548,86,0,1726601,78.1346145232251,11.316157325604818
122,123,Tamil Nadu,Ariyalur,2027040246.700736,264777.14121168863,4007,200,3764,43,1,754894,79.24538928584585,11.176062864734396
123,124,Tamil Nadu,Dindigul,6291036808.307407,651717.7842241195,9196,401,8624,171,1,2159775.0,77.79702455194261,10.385353802040884
124,125,Tamil Nadu,Virudhunagar,4390123296.860071,576490.5643378623,14702,222,14266,214,0,2105930.0,77.931497981852,9.478195343803637
125,126,Telangana,Kamareddy,4179644293.257032,505412.9679030082,4162,4154,8,0,1,972625.0,78.05352265848913,18.27863931891515
126,127,Telangana,Mahabubabad,3949569843.001125,398529.79555985046,3924,3923,1,0,2,774549.0,79.90642007788212,17.61134412100526
127,128,Telangana,Medak,3054477139.2295427,439601.2158161961,2434,2430,4,0,1,767428.0,78.18453920264844,17.92654675107324
128,129,Telangana,Nagarkurnool,6998868047.722541,564478.3121058594,2807,2805,2,0,2,893308.0,78.60285012674004,16.37785059029258
129,130,Maharashtra,Gondia,6121473322.223382,615679.2689970527,7815,1299,6426,90,2,1200151.0,80.18508056701926,21.084126772375395
130,131,Maharashtra,Bhandara,4647456193.15371,581460.477693959,6694,1880,4678,136,1,1135835.0,79.75665406871083,21.06600417348261
131,132,Chhattisgarh,Mahasamund,5500917504.988361,574717.8769857141,2826,576,2218,32,2,1032754.0,82.70246772719902,21.215803882630315
132,133,Odisha,Nuapada,4411778338.8136,460259.5444230784,3890,702,3187,1,2,610382.0,82.5761839727082,20.508758090108127
133,134,Odisha,Balangir,7493608488.22605,616441.5724692274,5068,772,4272,24,2,1648997.0,83.23023115050461,20.585337112326336
134,135,Odisha,Boudh,3562376030.061345,441865.8873616228,2083,221,1856,6,2,441162.0,84.18539354791487,20.59505867779338
